0.687,0.125,0.187
0.708,0.125,0.167
0.710,0.097,0.194
0.718,0.103,0.179
0.711,0.111,0.178
0.696,0.116,0.188
0.696,0.114,0.190
0.685,0.123,0.192
0.704,0.113,0.183
0.689,0.122,0.189
0.700,0.114,0.186
0.700,0.114,0.186
0.708,0.111,0.181
0.697,0.118,0.184
0.698,0.111,0.190
0.714,0.107,0.179
0.727,0.091,0.182
0.667,0.167,0.167
0.687,0.125,0.187
0.682,0.136,0.182
0.697,0.121,0.182
0.714,0.107,0.179
0.700,0.117,0.183
0.708,0.108,0.185
0.697,0.118,0.184
0.694,0.118,0.188
0.698,0.116,0.186
0.690,0.115,0.195
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.685,0.124,0.191
0.682,0.125,0.193
0.678,0.126,0.195
0.682,0.125,0.193
0.682,0.125,0.193
0.685,0.124,0.191
0.685,0.120,0.196
0.688,0.118,0.194
0.688,0.118,0.194
0.691,0.117,0.191
0.684,0.126,0.189
0.691,0.117,0.191
0.691,0.117,0.191
0.697,0.112,0.191
0.700,0.117,0.183
0.714,0.107,0.179
0.643,0.143,0.214
0.692,0.154,0.154
0.706,0.118,0.176
0.692,0.115,0.192
0.718,0.103,0.179
0.709,0.109,0.182
0.694,0.113,0.194
0.700,0.114,0.186
0.697,0.118,0.184
0.707,0.107,0.187
0.696,0.114,0.190
0.707,0.110,0.183
0.694,0.118,0.188
0.705,0.114,0.182
0.696,0.120,0.185
0.699,0.118,0.183
0.699,0.118,0.183
0.696,0.120,0.185
0.700,0.111,0.189
0.696,0.120,0.185
0.691,0.117,0.191
0.691,0.117,0.191
0.699,0.118,0.183
0.696,0.120,0.185
0.703,0.108,0.189
0.697,0.121,0.182
0.692,0.154,0.154
0.667,0.167,0.167
0.667,0.133,0.200
0.722,0.111,0.167
0.704,0.111,0.185
0.705,0.114,0.182
0.705,0.115,0.180
0.707,0.107,0.187
0.705,0.115,0.179
0.703,0.108,0.189
0.708,0.111,0.181
0.704,0.113,0.183
0.716,0.104,0.179
0.700,0.114,0.186
0.700,0.114,0.186
0.700,0.114,0.186
0.707,0.107,0.187
0.701,0.117,0.182
0.703,0.108,0.189
0.712,0.102,0.186
0.718,0.103,0.179
0.696,0.130,0.174
0.643,0.143,0.214
0.727,0.091,0.182
0.692,0.154,0.154
0.687,0.125,0.187
0.706,0.118,0.176
0.706,0.118,0.176
0.706,0.118,0.176
0.706,0.118,0.176
0.687,0.125,0.187
0.687,0.125,0.187
0.667,0.133,0.200
0.692,0.154,0.154
0.667,0.167,0.167
0.667,0.133,0.200
0.722,0.111,0.167
0.696,0.130,0.174
0.714,0.107,0.179
0.700,0.100,0.200
0.700,0.100,0.200
0.714,0.107,0.179
0.704,0.111,0.185
0.692,0.115,0.192
0.680,0.120,0.200
0.708,0.125,0.167
0.696,0.130,0.174
0.696,0.130,0.174
0.696,0.130,0.174
0.696,0.130,0.174
0.696,0.130,0.174
0.714,0.095,0.190
0.682,0.136,0.182
0.700,0.100,0.200
0.667,0.133,0.200
0.692,0.154,0.154
0.706,0.118,0.176
0.714,0.095,0.190
0.714,0.107,0.179
0.694,0.111,0.194
0.698,0.116,0.186
0.705,0.114,0.182
0.705,0.114,0.182
0.711,0.105,0.184
0.687,0.125,0.187
0.696,0.130,0.174
0.687,0.125,0.187
0.727,0.091,0.182
0.667,0.133,0.200
0.722,0.111,0.167
0.714,0.095,0.190
0.692,0.115,0.192
0.687,0.125,0.187
0.711,0.105,0.184
0.711,0.111,0.178
0.700,0.120,0.180
0.704,0.111,0.185
0.700,0.117,0.183
0.708,0.108,0.185
0.696,0.116,0.188
0.699,0.110,0.192
0.692,0.115,0.192
0.696,0.114,0.190
0.687,0.120,0.193
0.694,0.118,0.188
0.693,0.114,0.193
0.685,0.124,0.191
0.689,0.122,0.189
0.689,0.122,0.189
0.692,0.121,0.187
0.688,0.118,0.194
0.692,0.121,0.187
0.689,0.122,0.189
0.696,0.116,0.188
0.714,0.114,0.171
0.700,0.100,0.200
0.692,0.154,0.154
0.667,0.133,0.200
0.696,0.130,0.174
0.703,0.108,0.189
0.710,0.113,0.177
0.698,0.116,0.186
0.685,0.124,0.191
0.689,0.122,0.189
0.689,0.122,0.189
0.685,0.124,0.191
0.698,0.116,0.186
0.695,0.122,0.183
0.687,0.125,0.187
0.685,0.124,0.191
0.704,0.113,0.183
0.724,0.103,0.172
0.667,0.133,0.200
0.667,0.167,0.167
0.722,0.111,0.167
0.697,0.121,0.182
0.705,0.115,0.180
0.694,0.118,0.188
0.694,0.125,0.181
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.689,0.122,0.189
0.694,0.118,0.188
0.704,0.113,0.183
0.724,0.103,0.172
0.667,0.133,0.200
0.667,0.133,0.200
0.714,0.107,0.179
0.716,0.104,0.179
0.694,0.125,0.181
0.689,0.122,0.189
0.694,0.125,0.181
0.690,0.127,0.183
0.690,0.127,0.183
0.690,0.127,0.183
0.690,0.127,0.183
0.690,0.127,0.183
0.690,0.127,0.183
0.690,0.127,0.183
0.694,0.125,0.181
0.689,0.122,0.189
0.718,0.103,0.179
0.667,0.133,0.200
